Judul,Perusahaan,Lokasi,Jurusan
Coffee Procurement Intern,PT. Ldc Trading Indonesia,"Wisma 46 - Kota BNI Lt. 15 Suite 15.01 Jl. Jendral Sudirman Kav. 1, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Pemasaran/Marketing, Agribisnis, Manajemen Bisnis"
Coffee Quality Analyst Intern,PT. Ldc Trading Indonesia,"Wisma 46 - Kota BNI Lt. 15 Suite 15.01 Jl. Jendral Sudirman Kav. 1, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknologi Hasil Pertanian, Teknologi Industri Pangan, Kimia Industri, Pengelolaan Hasil Perkebunan"
Warehouse Analyst Intern,PT. Ldc Trading Indonesia,"Wisma 46 - Kota BNI Lt. 15 Suite 15.01 Jl. Jendral Sudirman Kav. 1, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Logistik, Manajemen Logistik, Administrasi Bisnis"
Accounting Intern,PT. Ldc Trading Indonesia,"Wisma 46 - Kota BNI Lt. 15 Suite 15.01 Jl. Jendral Sudirman Kav. 1, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Akuntansi, Akuntansi Perpajakan, Administrasi Keuangan"
Technician Intern,PT. Ldc Trading Indonesia,"Wisma 46 - Kota BNI Lt. 15 Suite 15.01 Jl. Jendral Sudirman Kav. 1, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Mesin Industri, Teknik Mesin, Elektronika Instrumentasi, Teknik Elektro, Teknik Mesin Pertanian"
Mill Operator Intern,PT. Ldc Trading Indonesia,"Wisma 46 - Kota BNI Lt. 15 Suite 15.01 Jl. Jendral Sudirman Kav. 1, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Mesin Industri, Teknik Mesin Pertanian, Teknik Mesin dan Manufaktur, Teknik Industri Agro"
SHE Admin Intern,PT. Ldc Trading Indonesia,"Wisma 46 - Kota BNI Lt. 15 Suite 15.01 Jl. Jendral Sudirman Kav. 1, Kelurahan Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat 10220, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Kesehatan Lingkungan, Ilmu Kesehatan Masyarakat, Keselamatan Dan Kesehatan Kerja, Hiperkes Dan Keselamatan Kerja"
Creative,Trans Digital Media,"GEDUNG TRANS MEDIA LANTAI 8-9, JALAN KAPTEN PIERRE TENDEAN KAVLING 12-14A, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Multi Media, Film Dan Televisi, Komunikasi Digital dan Media, Ilmu Komunikasi, Informasi dan Humas"
"Staff Procurement (Lokasi kerja : Merauke, Papua Selatan)",Selaras Inti Semesta,"Gedung Kyai Maja 4 Basement, Jalan Kyai Maja No. 4, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Teknik lndustri, Administrasi BIsnis"
Pengembangan Kebijakan JKP MLT Intern  (Penempatan Jakarta),BPJS KETENAGAKERJAAN,"Jalan Jend Gatot Subroto No. 79 Setiabudi, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Aktuaria, Ilmu Aktuaria, Administrasi Asuransi & Aktuaria, Sains Aktuaria"
Petugas Dokumen Intern (Penempatan Jakarta),BPJS KETENAGAKERJAAN,"Jalan Jend Gatot Subroto No. 79 Setiabudi, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Manajemen Keuangan"
Pengelolaan Sistem Manajemen Intern (Penempatan Jakarta),BPJS KETENAGAKERJAAN,"Jalan Jend Gatot Subroto No. 79 Setiabudi, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Industri, Sistem informasi, Teknologi Informasi, Desain Komunikasi Visual, Akuntansi"
"Staff Administrasi Gudang (Lokasi kerja : Merauke, Papua Selatan)",Selaras Inti Semesta,"Gedung Kyai Maja 4 Basement, Jalan Kyai Maja No. 4, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Teknik Industri"
"Pengelola Layanan Operasional Pengadaan Barang atau Jasa pada Biro Keuangan, SDM dan Umum",Kementerian Koordinator Bidang Pemberdayaan Masyarakat,"Jl. Medan Merdeka Barat No. 3 Gambir, Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Akuntansi, Ilmu Administrasi Negara, Matematika, Teknik Sipil"
Penelaah Laporan & Evaluasi,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Data Analyst,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Sistem Informasi
Junior Graphic Designer,Inspektorat Jenderal,"Jl. Jendral Gatot Subroto Kav. 51, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Desain Grafis
